source,target,cluster
19995,9662,10
19995,11194,10
19995,7873,10
19995,1378,10
19995,8885,10
19995,57120,10
19995,12228,10
19995,67373,10
19995,206296,10
19995,35219,10
19995,28260,10
19995,7515,10
19995,22600,10
19995,12612,10
19995,34335,10
19995,18808,10
19995,12602,10
19995,98549,10
19995,312793,10
19995,309919,10
19995,26388,10
19995,14048,10
19995,38358,10
19995,935,10
19995,58492,10
19995,37232,10
19995,386826,10
19995,10894,10
19995,246449,10
19995,43947,10
19995,9709,10
19995,11426,10
19995,1651,10
19995,20156,10
19995,9464,10
19995,13820,10
19995,23963,10
19995,253306,10
19995,408,10
19995,44413,10
19995,266034,10
19995,2661,10
19995,295914,10
19995,223,10
19995,176,10
19995,39939,10
19995,11219,10
19995,60400,10
19995,16433,10
19995,43884,10
19995,50037,10
19995,53502,10
19995,202604,10
19995,811,10
19995,5769,10
19995,11298,10
19995,10643,10
19995,5722,10
19995,39833,10
19995,18712,10
19995,7944,10
19995,171424,10
19995,361475,10
19995,113947,10
19995,9707,10
19995,56666,10
19995,13198,10
19995,244267,10
19995,201132,10
19995,112456,10
19995,25983,10
19995,66195,10
19995,46727,10
19995,18206,10
19995,320146,10
19995,13856,10
19995,56491,10
19995,269057,10
19995,206213,10
19995,29146,10
19995,127867,10
19995,3170,10
19995,45767,10
19995,57294,10
19995,905,10
19995,10105,10
19995,13158,10
19995,84332,10
19995,74510,10
19995,74725,10
19995,206197,10
19995,26837,10
19995,118612,10
19995,3080,10
19995,9459,10
19995,26916,10
19995,211086,10
19995,23069,10
19995,14358,10
19995,125052,10
19995,45649,10
19995,43933,10
19995,30867,10
19995,322194,10
19995,98568,10
19995,380733,10
19995,285743,10
19995,15239,10
19995,4107,10
19995,3062,10
19995,464,10
19995,762,10
19995,1435,10
19995,18045,10
19995,11240,10
19995,25678,10
19995,52032,10
19995,21525,10
19995,11980,10
19995,47534,10
19995,13282,10
19995,250184,10
19995,431,10
19995,29917,10
19995,70687,10
19995,60463,10
19995,24869,10
19995,306667,10
19995,3060,10
19995,173224,10
19995,18533,10
19995,139948,10
19995,35073,10
19995,9659,10
19995,53256,10
19995,54702,10
19995,5759,10
19995,13363,10
19995,21334,10
19995,55420,10
19995,5822,10
19995,50497,10
19995,13187,10
19995,1779,10
19995,86812,10
19995,985,10
19995,18841,10
19995,175291,10
19995,51130,10
19995,72086,10
19995,268917,10
19995,473,10
19995,9372,10
19995,74777,10
19995,20981,10
19995,242095,10
19995,13963,10
19995,42151,10
19995,38780,10
19995,86304,10
19995,692,10
19995,36095,10
19995,14337,10
19995,231617,10
285,58,20
285,49051,20
285,10195,20
285,22,20
285,18823,20
285,1911,20
285,120,20
285,122,20
