,budget,genres,id,popularity,release_date,revenue,title,vote_average,vote_count,profit,release_year,cluster
184,135000000,Fantasy,228161,63.473086,18-03-2015,368871007,Home,6.8,1519,233871007,2015,9
185,132000000,Adventure,74,48.572726,28-06-2005,591739379,War of the Worlds,6.2,2322,459739379,2005,4
186,130000000,Adventure,8961,38.068736,18-07-2003,273339556,Bad Boys II,6.3,1564,143339556,2003,4
187,130000000,Action,417859,20.678787,28-10-2011,554987477,Puss in Boots,6.4,451,424987477,2011,3
188,110000000,Action,27576,48.829437,21-07-2010,293329073,Salt,6.2,2093,183329073,2010,3
189,125000000,Drama,86834,46.115758,20-03-2014,362637473,Noah,5.6,2350,237637473,2014,1
190,130000000,Adventure,17578,89.938296,25-10-2011,371940071,The Adventures of Tintin,6.7,2061,241940071,2011,4
191,130000000,Adventure,673,79.679601,31-05-2004,789804554,Harry Potter and the Prisoner of Azkaban,7.7,5877,659804554,2004,4
192,130000000,Drama,6972,28.840997,18-11-2008,49554002,Australia,6.3,694,-80445998,2008,1
193,130000000,Science Fiction,82700,42.840582,30-05-2013,243843127,After Earth,5,2532,113843127,2013,11
194,127500000,Animation,10567,26.548594,19-05-2000,354248063,Dinosaur,6.2,542,226748063,2000,8
195,127000000,Adventure,181533,115.597753,17-12-2014,349424282,Night at the Museum: Secret of the Tomb,6.1,1851,222424282,2014,4
196,130000000,Animation,38055,68.757242,28-10-2010,321887208,Megamind,6.7,1918,191887208,2010,8
197,125000000,Adventure,671,109.984351,16-11-2001,976475550,Harry Potter and the Philosopher's Stone,7.5,7006,851475550,2001,4
198,130000000,Fantasy,49524,39.448066,18-07-2013,61648500,R.I.P.D.,5.4,1260,-68351500,2013,9
199,140000000,Adventure,22,271.972889,09-07-2003,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,515011224,2003,4
200,125000000,Science Fiction,131631,206.227151,18-11-2014,752100229,The Hunger Games: Mockingjay - Part 1,6.6,5584,627100229,2014,11
201,125000000,Thriller,591,45.313197,17-05-2006,767820459,The Da Vinci Code,6.5,2704,642820459,2006,7
202,103000000,Animation,172385,42.40024,19-03-2014,500188435,Rio 2,6.3,978,397188435,2014,8
203,110000000,Adventure,36658,2.871739,24-04-2003,407711549,X2,6.8,3506,297711549,2003,4
204,125000000,Action,51497,7.255718,20-04-2011,626137675,Fast Five,7.1,2438,501137675,2011,3
205,125000000,Adventure,58574,81.499621,22-11-2011,334615000,Sherlock Holmes: A Game of Shadows,7,3886,209615000,2011,4
206,125000000,Adventure,18823,47.686442,01-04-2010,232713139,Clash of the Titans,5.6,2233,107713139,2010,4
207,65000000,Action,861,43.129703,01-06-1990,261317921,Total Recall,7.1,1710,196317921,1990,3
208,160000000,Adventure,1911,27.220157,27-08-1999,61698899,The 13th Warrior,6.4,510,-98301101,1999,4
209,130000000,Action,49040,90.33681,08-08-2012,276572938,The Bourne Legacy,6,2651,146572938,2012,3
210,125000000,Action,415,50.073575,20-06-1997,238207122,Batman & Robin,4.2,1418,113207122,1997,3
211,123000000,Family,8871,45.419668,17-11-2000,345141403,How the Grinch Stole Christmas,6.2,1386,222141403,2000,13
212,125000000,Action,435,41.380094,26-05-2004,544272402,The Day After Tomorrow,6.2,2392,419272402,2004,3
213,125000000,Adventure,955,54.931334,24-05-2000,546388105,Mission: Impossible II,5.9,1928,421388105,2000,4
214,120000000,Drama,2133,25.752118,15-03-2000,325756637,The Perfect Storm,6.2,597,205756637,2000,1
215,130000000,Adventure,1979,60.810723,13-06-2007,289047763,Fantastic 4: Rise of the Silver Surfer,5.4,2589,159047763,2007,4
216,120000000,Adventure,87827,51.328145,20-11-2012,609016565,Life of Pi,7.2,5797,489016565,2012,4
217,110000000,Thriller,1250,46.834704,16-02-2007,228738393,Ghost Rider,5.2,1712,118738393,2007,7
218,120000000,Action,324668,62.641286,27-07-2016,415484914,Jason Bourne,5.9,2341,295484914,2016,3
219,120000000,Action,9471,33.616115,27-06-2003,259175788,Charlie's Angels: Full Throttle,5.2,914,139175788,2003,3
220,130000000,Science Fiction,70981,68.889395,30-05-2012,403170142,Prometheus,6.3,5080,273170142,2012,11
221,120000000,Family,10996,27.990284,19-07-2002,169956806,Stuart Little 2,5.4,613,49956806,2002,13
222,115000000,Science Fiction,68724,67.33767,07-08-2013,286140700,Elysium,6.4,3439,171140700,2013,11
223,105000000,Action,2789,27.835436,11-06-2004,115772733,The Chronicles of Riddick,6.3,1570,10772733,2004,3
224,120000000,Action,97020,66.757869,30-01-2014,242688965,RoboCop,5.7,2342,122688965,2014,3
225,120000000,Action,7459,17.060695,09-05-2008,93945766,Speed Racer,5.7,354,-26054234,2008,3
226,120000000,Comedy,42888,11.137655,17-12-2010,48668907,How Do You Know,4.9,223,-71331093,2010,2
227,117000000,Action,37834,44.906918,15-06-2010,261930431,Knight and Day,5.9,1547,144930431,2010,3
228,120000000,Action,75612,67.698004,10-04-2013,286168572,Oblivion,6.4,4800,166168572,2013,3
229,113000000,Science Fiction,1895,44.108427,17-05-2005,850000000,Star Wars: Episode III - Revenge of the Sith,7.1,4116,737000000,2005,11
230,120000000,Adventure,1894,43.987061,15-05-2002,649398328,Star Wars: Episode II - Attack of the Clones,6.4,3992,529398328,2002,4
231,115000000,Animation,585,106.815545,01-11-2001,562816256,"Monsters, Inc.",7.5,5996,447816256,2001,8
232,120000000,Action,76170,15.953444,23-07-2013,415440673,The Wolverine,6.3,4053,295440673,2013,3
233,115000000,Adventure,1893,54.035265,19-05-1999,924317558,Star Wars: Episode I - The Phantom Menace,6.3,4432,809317558,1999,4
234,135000000,Adventure,49519,64.183321,20-03-2013,585178928,The Croods,6.8,2399,450178928,2013,4
235,97250400,Fantasy,2395,20.344364,13-01-2008,132900000,Asterix at the Olympic Games,5,471,35649600,2008,9
236,115000000,Drama,12100,18.714197,14-06-2002,77628265,Windtalkers,5.8,341,-37371735,2002,1
237,115000000,Action,290595,60.467984,06-04-2016,164602163,The Huntsman: Winter's War,6,1523,49602163,2016,3
238,125000000,Science Fiction,98566,143.350376,07-08-2014,477200000,Teenage Mutant Ninja Turtles,5.8,2636,352200000,2014,11
239,105000000,Science Fiction,49047,110.153618,27-09-2013,716392705,Gravity,7.3,5751,611392705,2013,11
240,116000000,Action,9619,16.90444,07-02-1997,178127760,Dante's Peak,5.7,428,62127760,1997,3
241,135000000,Fantasy,308531,39.873791,01-06-2016,245623848,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,110623848,2016,9
242,120000000,Action,166424,38.126095,05-08-2015,167977596,Fantastic Four,4.4,2278,47977596,2015,3
243,110000000,Action,1593,48.780039,20-10-2006,574480841,Night at the Museum,6.3,2862,464480841,2006,3
244,110000000,Action,254128,100.412364,27-05-2015,470490832,San Andreas,6,2968,360490832,2015,3
245,110000000,Adventure,714,42.887121,11-12-1997,333011068,Tomorrow Never Dies,6,925,223011068,1997,4
246,110000000,Drama,2024,23.657284,28-06-2000,215294342,The Patriot,6.8,1099,105294342,2000,1
247,110000000,Thriller,163,76.840712,09-12-2004,362744280,Ocean's Twelve,6.4,2124,252744280,2004,7
248,110000000,Action,787,44.635452,07-06-2005,478207520,Mr. & Mrs. Smith,6.5,2965,368207520,2005,3
